text,wordlen_mean,wordlen_std,wordlen_skew,wordlen_unique_mean,wordlen_unique_std,wordlen_unique_skew,wordlen_autocorr,wordunique_mean,wordunique_std,wordunique_skew,wordchange_mean,wordchange_std,wordchange_skew,worddist_max,worddist_shape,wordbias_mean,wordbias_std,wordbias_skew,wordbias_lines_mean,wordbias_lines_std,wordbias_lines_skew,chardist_max,chardist_shape,ngramdist_max,ngramdist_shape,charbias_mean,charbias_std,charbias_skew,charbias_words_mean,charbias_words_std,charbias_words_skew,unique_words,repeated_words,tripled_words,unique_chars,repeated_chars,tripled_chars,unique_ngrams,entropy,compression,zipf,flipped_pairs
Enciphered - Latin_Adso_Alfb,7.346442111250111,2.90527214590802,0.41824732409146,8.015760150445413,2.7293112205951444,0.34176712915236945,-0.09846881037256383,1.0260185038135046,0.5561716874589937,3.113180968821524,1.0759347202633631,0.6444706070748302,2.9192773598700468,12.77,1.4264000000000001,1.8335196295371359,0.5913075872268013,-1.0438640380440092,1.8796525874866608,0.5716496590730121,-1.2591123251506515,0.11049710654307131,0.040512194672769355,164.25,4.73291414935867,0.49382241938172095,0.17549603325261146,4.149948732976379,0.9498335607752965,0.37500941647740665,1.2756103458071304,150.87,0.0,0.0,23.53,0.00913660087918625,0.0,672.9,1.580273526658491,0.4227807389226167,5.892087993284352,0.013198961267735393
Enciphered - Latin_Adso_bigraph1,7.103019695426749,3.5385468574991097,0.43853868157353815,7.904579951857267,3.350437647733353,0.3815951251048457,-0.08415268792255381,1.195697549908596,0.8318400011886343,3.2202507545353325,1.1399168004313063,0.8790163975589039,2.5232519499292763,12.11,1.4204,1.85630378373242,0.5751442871522766,-1.1107872276524373,1.8894556728936842,0.5567314131500023,-1.2833154238695597,0.16950503877764572,0.06756228280657654,244.03,6.9243213958670085,0.3615836651666055,0.1436862802979652,5.573557210474005,0.5541374400249778,0.19153520897088241,2.711514184962174,151.05,4.9751243781094526e-05,0.0,14.31,0.061831564328991194,0.00362532011723707,468.41,2.0001783434403895,0.41711583379446443,5.751689866489653,0.013169156514105327
Enciphered - Latin_Adso_bigraph2,8.483263658597576,4.0920498726923515,0.6358046201061192,9.331045333080539,3.956171765651227,0.4919272385959096,-0.08967111296711842,1.046388807059951,0.7303983846840195,3.050760323448174,1.0771799141965772,0.7779348213376297,2.730574390366143,12.59,1.3532,1.8402203055499047,0.5800899563655683,-1.0252586341120409,1.8747474116450051,0.5698607542870481,-1.2157589170855645,0.3806824973076181,0.06233323481425377,652.07,12.536734685411723,0.33401050221175504,0.17456315590572546,4.048657014413259,0.5311495006441935,0.2038763944710105,3.212896424761717,150.37,0.0,0.0,15.61,0.14090252737995326,0.030598702248266912,335.2,1.991117804718544,0.3695167035729219,7.552616381506171,0.014081169662629681
Enciphered - Latin_Adso_bigraph3,7.798840831754511,3.9050611124282666,0.6440681965660364,8.665380173215794,3.73816011784302,0.523776522808905,-0.10230725491403443,1.0421848467013801,0.8236244440939766,3.500000037563486,1.107117059277877,0.8840988054424699,2.824418135896753,11.79,1.334,1.8317423125933219,0.5694068615154156,-0.9336782601124696,1.8687955428386778,0.565606972378491,-1.1618019585138368,0.46673034223182913,0.06283088818814714,736.86,13.239922174303068,0.34609476856060567,0.18150556775912718,3.7655794859801808,0.5398925291500403,0.20856645794965442,2.764618016726115,148.89,0.0,0.0,15.42,0.16365414068210896,0.04128286414750601,290.45,1.9183114738598146,0.3639595402072936,7.848419292927474,0.015895664442361825
Enciphered - Latin_Adso_conflc,5.764067590916107,2.8007835839239115,0.48836969245581224,6.39316598150256,2.647550716823267,0.3659926691861412,-0.0873765417137149,1.118604393382059,0.783344549266423,3.2654055671488327,1.1135711374370887,0.8061601495650254,2.6034358998353553,11.74,1.2968,1.8362130924381916,0.5901975982501578,-1.0685266628814298,1.8890891524248463,0.5496955934518721,-1.2271322602443304,0.3253197113719237,0.07141329546859987,380.18,7.793485937237151,0.3549082914127933,0.17807405568451823,4.909348596881703,0.5736409345866332,0.2195396521087463,2.80782610114247,151.7,0.0,0.0,13.55,0.0517001182481479,0.003836670983477414,330.6,2.0302785277436586,0.4191614271580724,7.407588065271934,0.01813352659800325
Enciphered - Latin_Adso_Crema,5.731930248660528,2.7922362702141252,0.5116088023871502,6.046177603105541,2.698654409914671,0.4731257987145453,-0.09603797008609928,1.3522451830563667,0.8532058956860369,2.8248668461292397,1.077582809439252,0.7131288997759517,2.460955966117317,4.77,0.6696,2.113272325230984,0.34021252624238696,-2.7650263042179883,2.1126096403340706,0.33775358091054214,-2.7807449588200877,0.09725808521146675,0.02639736569114212,113.4,1.6638364431662587,0.5442269509330743,0.21367415694830433,2.077258739956105,0.7030224642771572,0.23970096749422953,1.8860407875415723,186.43,0.0,0.0,34.41,0.010753620155888884,0.0,1086.42,1.7534915441357144,0.6157558304209106,5.061870777648639,0.0010809403890244427
Enciphered - Latin_Adso_mCClass,5.621045837516747,2.6872134334982376,0.48110862083802847,6.247301856121445,2.5407037401659185,0.3779145248906703,-0.0967572746231391,1.1295674393603887,0.7326597298758297,3.0076664006745992,1.1166161865268829,0.773647337124403,2.453921905135704,12.17,1.366,1.809738917644117,0.6171426689815925,-1.0334561647926426,1.8779689166414761,0.5644189594436535,-1.2140947389066667,0.23401414122528308,0.04779258510694855,267.68,7.486729749750227,0.3368035475846468,0.07392456181488427,0.7957175652995893,0.5612323865896757,0.09647669102625224,0.27453892037596,150.62,0.0,0.0,10,0.0,0.0,332.87,2.070754684030262,0.42605996450705785,6.264381139432921,0.01698294646357977
Enciphered - Latin_Adso_mvCClass,5.4913163144507084,2.7140335136419615,0.5126356319615993,6.240009017770493,2.5460505127610666,0.35308928159637487,-0.11957536755259249,1.033267904095114,0.7399762721334442,3.1029560012917483,1.145845531800681,0.8541932529416708,2.4846601113869022,13.35,1.5632,1.7611698854817193,0.6354387264099257,-0.8641450645399361,1.8183076586880436,0.599220884961557,-1.0224138379569405,0.2510633730907219,0.09057912552612754,280.27,16.475534985658086,0.28851726009263834,0.06406768909700633,0.8244299786424852,0.5410351989835249,0.07634547568639348,0.4191940694400024,143.88,0.000589731619402676,0.0,7,8.72682296934435e-05,0.0,156.96,1.989985287427387,0.37922099245488367,4.615685629778154,0.020481675064439105
Enciphered - Latin_Adso_No_Voicing,5.723052537604773,2.77712394403774,0.511565330014644,6.345686595617791,2.6364157451042782,0.39444575535463033,-0.09225723128187718,1.2194373774180087,0.7745656908267062,3.0229076482972967,1.10256241325028,0.7377545998926023,2.3544096934568484,11.64,1.3408,1.826918253412504,0.5972738573421681,-1.0471072276917153,1.8886004432064165,0.5496854105054172,-1.2276481894057907,0.13357032039513242,0.05176420050242712,155.45,4.232724357218161,0.4101884823178721,0.19270361056914265,3.7989254438974926,0.6206204339312982,0.2305282392120063,2.4249671705843934,151.32,0.0,0.0,18.36,0.011240621726978688,0.0,551.72,1.9055085154164588,0.46579871761202946,7.16355742361487,0.015059388482417058
Enciphered - Latin_Adso_No_Vowels,3.1153672874481684,1.7611296612200535,0.6496219697354306,3.7155431390931084,1.6117731086933074,0.47721352557160623,-0.10980909537773809,1.327219989039402,0.9799512233038674,2.8014993193212008,1.180215736824078,0.9400130005495758,2.1058157500565042,15.75,1.9204,1.6592388117720678,0.6872277806587952,-0.6197204169877181,1.7108198213461248,0.6630912588666913,-0.7263512370243158,0.18094986458478382,0.05988708106057509,114.9,3.4786259294849255,0.46463638610625585,0.21899758049712742,3.2452326992993563,0.8550065495773695,0.2189767326286812,2.447751128085553,133.1,0.002472762802648305,0.0,15.61,0.04521948205199592,0.0016856479609759615,300.4,1.913470696443298,0.4825946565925042,4.1538029396676865,0.030335746252780824
